date,equity
2024-12-17,1641986.9744705611
2024-12-18,1555148.7205255192
2024-12-19,1533374.3561538348
2024-12-20,1566055.6353477165
2024-12-23,1583042.7399736634
2024-12-24,1613632.9358109194
2024-12-26,1615207.006079255
2024-12-27,1610590.3988326897
2024-12-30,1578804.7382221043
2025-01-02,1669064.52534038
2025-01-03,1681199.7459459344
2025-01-06,1689518.2977833445
2025-01-07,1703321.2002618797
2025-01-08,1678447.5486022
2025-01-09,1699411.004788415
2025-01-10,1682490.997846164
2025-01-13,1612657.2130681698
2025-01-14,1644958.1467366507
2025-01-15,1639632.186649587
2025-01-16,1583731.7460861665
2025-01-17,1556603.5778387983
2025-01-20,1575885.7383764351
2025-01-21,1615547.653795286
2025-01-22,1621394.6809560303
2025-01-23,1583965.3852059834
2025-01-24,1567174.987680056
2025-01-27,1540192.4918147828
2025-01-28,1535976.797865501
2025-01-29,1582648.9235659065
2025-01-30,1603971.7788985793
2025-01-31,1570937.9077183544
2025-02-03,1536141.8331825056
2025-02-04,1542358.665787935
2025-02-05,1509328.0237014892
2025-02-06,1547171.651315222
2025-02-07,1497653.3719870183
2025-02-10,1491593.6588530352
2025-02-11,1432440.4280545183
2025-02-12,1438539.7467183154
2025-02-13,1472625.6977596122
2025-02-14,1483646.7891637774
2025-02-17,1416649.962792532
2025-02-18,1461063.9908913667
2025-02-19,1464495.0655173364
2025-02-20,1494804.2434952953
2025-02-21,1455712.9274439737
2025-02-24,1445415.7927917705
2025-02-25,1414485.193787691
2025-02-26,1411197.5814541497
2025-02-27,1350256.9740639662
2025-02-28,1368474.0259949015
2025-03-05,1402296.5634177928
2025-03-06,1379545.5149891407
2025-03-07,1399434.4328567316
2025-03-10,1338132.2733636494
2025-03-11,1338737.2450169548
2025-03-12,1383189.0708100253
2025-03-13,1356616.1088132889
2025-03-14,1396020.310033326
2025-03-17,1386475.450255417
2025-03-18,1329272.4462798862
2025-03-19,1375502.0572302407
2025-03-20,1365326.902505153
2025-03-21,1395719.7965077367
2025-03-25,1411592.6233594243
2025-03-26,1392217.4300540658
2025-03-27,1379785.3248050418
2025-03-28,1354473.766014749
2025-03-31,1334639.052840726
2025-04-01,1340319.046497023
2025-04-03,1308220.526746694
2025-04-04,1231991.1864296086
2025-04-07,1182178.7596542093
2025-04-08,1158786.5778267118
2025-04-09,1242715.7948124874
2025-04-10,1204001.022619056
2025-04-11,1274345.4963994925
2025-04-14,1384247.7970813587
2025-04-15,1370721.384169273
2025-04-16,1379974.0111490104
2025-04-21,1370240.804309988
2025-04-22,1406668.1294745978
2025-04-23,1428976.291130127
2025-04-24,1404588.571818697
2025-04-25,1396904.6740791677
