ticker,entry_date,entry_price,exit_date,exit_price,side,shares,pnl
TGSU2,2020-05-21,1.0403574944262628,2020-08-21,0.936217196155537,LONG,57036,-5939.746052169116
BMA,2020-05-29,1.494823638246755,2020-08-21,1.4612545408763922,LONG,30130,-1011.4369037690325
TXAR,2020-05-11,0.21350854241139455,2020-08-24,0.24995811152392614,LONG,268335,9780.695127811163
YPFD,2020-06-02,5.325265477482702,2020-08-24,5.436400721019818,LONG,11188,1243.3811046932515
EDN,2020-06-03,0.1952314793450752,2020-08-24,0.18221300122722636,LONG,332965,-4334.69756650954
VALO,2020-05-18,0.14792416908207032,2020-08-25,0.16841718847465525,LONG,573905,11761.046294501459
PAMP,2020-07-13,0.4696161771060457,2020-08-25,0.436147871565844,LONG,121211,-4056.7267828333875
SUPV,2020-05-22,0.40269905164434583,2020-08-27,0.46867301928902383,LONG,120516,7950.918684666014
GGAL,2020-05-27,0.7326995545692296,2020-08-27,0.7916504948518827,LONG,67166,3959.4988550246726
LOMA,2020-05-28,0.8138477146871878,2020-09-04,0.8535164659880117,LONG,60169,2386.8290970192747
LOMA,2020-09-10,0.8411167665241274,2020-09-11,0.8333559152090197,LONG,71484,-554.776695409153
TGNO4,2020-06-04,0.262533920323168,2020-09-15,0.2596474389824491,LONG,205627,-593.5384986480154
LOMA,2020-09-14,0.8788380720659789,2020-09-16,0.8623119028166939,LONG,73313,-1211.5830461728283
PAMP,2020-09-02,0.4913987975767965,2020-09-23,0.40898641249286927,LONG,142584,-11750.687514806681
ALUA,2020-05-22,0.2530671675642033,2020-09-24,0.30450635855442676,LONG,254818,13107.631769746768
BYMA,2020-05-26,0.03266696128091474,2020-09-28,0.033991609459151154,LONG,2109390,2794.1996206901144
COME,2020-05-20,0.006534793441697667,2020-09-29,0.006960457478453872,LONG,10012002,4261.749187331197
COME,2020-12-10,0.00730724058681597,2021-01-08,0.006510670559212015,LONG,11266429,-8974.499659528004
TGNO4,2020-11-13,0.25707401968538335,2021-01-12,0.22587386656709887,LONG,229628,-7164.428760245427
BMA,2020-11-20,1.1794647669735092,2021-01-15,1.1173896252862112,LONG,44550,-2765.447562169126
PAMP,2020-10-21,0.4735048004459609,2021-01-18,0.523358813788318,LONG,142897,7123.988944582797
CEPU,2020-11-06,0.25111432627807356,2021-01-19,0.23815000855740887,LONG,236322,-3063.7534923829226
BBAR,2020-11-16,0.8219001957824513,2021-01-19,0.7373509985374179,LONG,69782,-5900.012082152921
YPFD,2020-11-19,4.953684785290492,2021-01-19,4.324864429010045,LONG,12086,-7599.922826005483
TGSU2,2020-10-30,1.0091581228094229,2021-01-20,1.0543070463549125,LONG,59181,2671.95844434562
TRAN,2020-11-11,0.1780828945440543,2021-01-20,0.16215352851479628,LONG,366236,-5833.907297091338
METR,2020-11-16,0.1367012910327336,2021-01-20,0.12646412600197326,LONG,388312,-3975.214027424606
EDN,2020-11-03,0.18047273785880605,2021-01-21,0.18710575987600067,LONG,281826,1869.358063017892
GGAL,2020-11-19,0.6270366204379801,2021-01-21,0.5986481317636789,LONG,90350,-2564.899951723115
SUPV,2020-11-19,0.3697887743334536,2021-01-21,0.35885004050005326,LONG,134007,-1465.8669048124775
VALO,2020-11-11,0.1730349339867279,2021-01-27,0.16308127328064945,LONG,444251,-4421.923722336057
LOMA,2020-11-12,0.8886116654392272,2021-01-27,0.9311859883444021,LONG,66648,2837.493472984099
BYMA,2020-11-17,0.03823046999646912,2021-01-28,0.03672261311637344,LONG,2028154,-3058.1659627935715
TXAR,2020-10-21,0.2500017581354726,2021-01-29,0.28063706821531736,LONG,221220,6777.1432958632595
ALUA,2020-11-30,0.331652494767274,2021-02-01,0.30239368591135546,LONG,269037,-7871.702158169753
COME,2021-02-18,0.006877817927047282,2021-03-08,0.006140658803430074,LONG,11668691,-8601.68203132
SUPV,2021-02-23,0.37651450325696645,2021-03-08,0.34317738337281906,LONG,101494,-3383.5176455216556
TGNO4,2021-02-24,0.24278646615125415,2021-03-08,0.21295187383784206,LONG,314206,-9374.20791242796
