ticker,entry_date,entry_price,exit_date,exit_price,side,shares,pnl_gross,commission_entry,commission_exit,pnl
CRES,2022-03-25,0.5838790491410768,2022-07-05,0.33766772337495077,LONG,34477,-8488.627878438727,110.71718887480297,64.02973554338998,-8663.37480285692
TXAR,2020-07-07,0.2541286693471264,2022-07-06,0.3758372434128036,LONG,59438,7234.114225315721,83.07694916759975,122.86457740683622,7028.172698741285
METR,2021-07-19,0.15659366681528067,2022-07-06,0.134905870912333,LONG,151832,-3292.9014275363506,130.7676129094373,112.65665505798738,-3536.3256955037755
TGNO4,2021-07-23,0.26055305483331015,2022-07-11,0.25849472638226345,LONG,102589,-211.16185746442972,147.0143253826195,145.85293516656515,-504.0291180136143
ALUA,2021-08-11,0.32821023899323,2022-07-14,0.35620955629935414,LONG,98447,2756.4487908360043,177.71222368991582,192.87269203951385,2385.8638751065746
CRES,2022-07-05,0.32688311850330126,2022-07-29,0.45282660798657975,LONG,47798,6019.846910321746,85.93397614021436,119.04313414698396,5814.869800034548
CRES,2022-10-27,0.3838863139256244,2022-10-28,0.3734025067206025,LONG,64811,-679.4660287646743,136.840307405085,133.1032442468793,-949.4095804166386
TXAR,2022-10-31,0.5176326234501316,2022-12-15,0.5070061760015617,LONG,47944,-509.47439647423465,136.4955817428121,133.69347256220382,-779.6634507792506
BYMA,2021-12-23,0.04861341750445595,2022-12-26,0.05968092013916501,LONG,469331,5194.322079050639,125.48681117931096,154.0555826140895,4914.779685257238
TXAR,2022-12-26,0.5670236987791699,2023-03-15,0.45080787438993636,LONG,48543,-5641.464763326565,151.38767275410484,120.35961655580874,-5913.212052636478
LOMA,2022-09-20,1.3306525846659347,2023-07-20,1.3556571104291388,LONG,25390,634.8649091277524,185.81898018567446,189.31073718587706,259.73519175620083
VALO,2022-06-30,0.13420529238517376,2023-08-15,0.159085164694257,LONG,272201,6772.326122404764,200.9194813589517,238.16727503217794,6333.239366013634
BYMA,2022-12-30,0.061727120923566844,2023-09-08,0.05871728600206734,LONG,401082,-1207.1906099848643,136.1670041284632,129.52745577354645,-1472.8850698868741
LOMA,2023-08-14,1.2800664702061664,2023-09-28,1.2149075516368373,LONG,17054,-1111.2201972813384,120.06639470592779,113.95468362088043,-1345.2412756081465
TGNO4,2022-10-11,0.43449064438424395,2023-10-24,0.7986108993668319,LONG,49947,18186.714375615324,119.35827318282907,219.38520224871334,17847.970900183784
METR,2022-09-15,0.24676278769043153,2023-11-01,0.27373272746882343,LONG,86135,2323.0557628117867,116.90201994743425,129.67882664289908,2076.4749162214534
COME,2021-07-01,0.009096355904532769,2023-11-03,0.027451087212032144,LONG,2927867,53740.212089094275,146.48106150225152,442.05222799227,53151.67879959975
SUPV,2022-10-31,0.3616382928355206,2023-11-03,0.3951587202852447,LONG,69376,2325.513174752056,137.9896001206639,150.77992258180024,2036.7436520495917
BBAR,2022-10-20,0.846836128168236,2023-11-14,1.1328743911317878,LONG,29361,8398.369438872845,136.75175557531165,182.9427874891123,8078.674895808422
TGSU2,2022-06-24,1.0357050370769594,2023-11-21,2.334388839551426,LONG,21061,27351.57956391474,119.97141082232812,270.40509842385916,26961.203054668553
BMA,2022-10-17,1.212205781694084,2023-12-01,2.149977805632735,LONG,18856,17682.6292833872,125.71543720793005,222.96989826655968,17333.943947912707
TXAR,2023-03-15,0.4518203227813534,2024-03-15,0.6819457231147147,LONG,39259,9034.49309168743,97.55907728640234,147.2487892906832,8789.685225110345
ALUA,2022-09-08,0.4840967760286557,2024-03-26,0.8562938431646614,LONG,55701,20731.748836542654,148.3057098686468,262.3303284696314,20321.112798204376
CRES,2023-01-24,0.5227598589919886,2024-08-20,0.710488089153348,LONG,38314,7192.619410402325,110.15961680580479,149.71902356301757,6932.7407700335025
ALUA,2025-01-10,0.7687410414290804,2025-02-27,0.6488280575308784,LONG,44329,-5315.622663223398,187.42636894030335,158.19044429257468,-5661.239476456276
TXAR,2025-01-07,0.7066753270365311,2025-03-05,0.5698966251453588,LONG,53613,-7333.116544491424,208.37841369625247,168.04627270154964,-7709.5412308892255
COME,2024-01-10,0.03067400950098472,2025-04-04,0.05485715320155687,LONG,950743,22991.954591313064,160.39704898247092,286.8527992346928,22544.7047430959
VALO,2024-01-29,0.21127676607367585,2025-05-05,0.21654099858686837,LONG,168443,886.7231172196883,195.73450769261498,200.61148483732327,490.3771246897501
EDN,2022-09-29,0.3380710820533314,2025-07-24,1.2519309570962842,LONG,78162,71429.11555310727,145.3337155349887,538.1938510770786,70745.5879864952
BMA,2023-12-26,2.6417340144924086,2025-07-28,6.640793383980346,LONG,7865,31452.601941022625,114.27480913190536,287.26411980752977,31051.063012083192
GGAL,2023-01-16,1.0501294930781584,2025-08-12,4.9111511891888115,LONG,21205,81872.9650660264,122.4739774539729,572.7752853171181,81177.71580325531
SUPV,2024-01-02,0.7591426809471096,2025-08-13,2.2157160454964626,LONG,25772,37538.808751165925,107.60543845352899,314.06888658494154,37117.13442612745
BYMA,2024-01-03,0.07995526891873869,2025-08-14,0.15044624598439194,LONG,277254,19543.905355360625,121.92354970837786,229.4150291628613,19192.566776489384
