slow,fast_index,net_profit,cagr,sharpe,max_drawdown,pct_profitable,avg_win_loss,profit_factor,trades_count,final_equity
100,0.2,418253.5098423287,0.03556523998863281,0.2603513804976058,-0.5545055666919505,32.72251308900523,2.6031911509817007,1.2661435559249516,382,1418253.509842328
100,0.25,331294.49211817444,0.0290325560286413,0.23401484966527963,-0.579415794641369,32.5,2.5315457440156086,1.2188923952667745,360,1331294.492118175
100,0.3,284788.9723110772,0.025379593360352448,0.21910149651019586,-0.602371232112956,34.173669467787114,2.280869058692198,1.184110745363609,357,1284788.9723110767
100,0.35,261775.47082426207,0.023527676462399505,0.2107180811816955,-0.6164088778361696,34.94318181818182,2.1752843297728357,1.1683841596596454,352,1261775.4708242624
100,0.4,208788.87278714974,0.01914545686929392,0.19277092281024205,-0.6439387160411856,34.173669467787114,2.1854717867574744,1.1345853531251568,357,1208788.8727871499
100,0.45,73648.04030232748,0.007132512297444382,0.143524168030523,-0.6690636140117737,33.795013850415515,2.049788748764491,1.0463356792856395,361,1073648.0403023288
100,0.5,-37351.34254050319,-0.003799960528479418,0.09728542821627913,-0.6896128448430741,34.12698412698413,1.8862332686488217,0.9772051873722811,378,962648.6574594976
120,0.2,303995.7793244774,0.026902466140995562,0.23759220667962822,-0.5915914540194811,32.58064516129032,2.5917732703438667,1.2524837335154573,310,1303995.7793244768
120,0.25,299179.857861712,0.02652252640672592,0.23559513641819618,-0.6123693581936712,32.67326732673268,2.5900859942767425,1.2569534972225367,303,1299179.8578617128
120,0.3,210086.8744957865,0.01925485519571435,0.19886000254706107,-0.6327896468864342,32.459016393442624,2.4551994705253453,1.179925959135967,305,1210086.8744957864
120,0.35,147061.1562239662,0.013816775410467441,0.1707998080772209,-0.6376657307944137,31.493506493506494,2.4446584465399246,1.1238477218690648,308,1147061.1562239653
120,0.4,57015.11689931189,0.005561065645732999,0.1288653520196226,-0.6581600078085034,32.33333333333333,2.1942208315149228,1.0484700524972783,300,1057015.116899313
120,0.45,39372.79489059409,0.0038697418460111876,0.12000280284295911,-0.6507752088499831,31.921824104234524,2.2020912740370444,1.0325595447637814,307,1039372.7948905923
